refNo,collectDate,subjEmail,cenTract,ageRange,score
1000702,10/17/2016,libero.et.tristique@quisdiamluctus.net,40146,30,502
1000703,2/12/2015,dui.nec@augue.org,17223,17,856
1000704,6/20/2016,molestie@molestietellusAenean.com,49443,60,173
1000705,11/13/2015,lectus@pharetrautpharetra.edu,39935,17,665
1000706,7/7/2015,lacus.Etiam@Aliquamvulputateullamcorper.net,37487,60,629
1000707,6/8/2016,sollicitudin.commodo@gravida.edu,82597,60,1132
1000708,4/12/2015,vitae.sodales@nonhendreritid.net,97828,65,952
1000709,9/29/2016,eu.accumsan.sed@placerategetvenenatis.com,24982,17,271
1000710,5/23/2016,odio.sagittis@ullamcorper.edu,62748,20,986
1000711,5/21/2016,vel.arcu.Curabitur@Donec.com,95004,40,392
1000712,12/28/2015,ac.eleifend.vitae@viverra.com,02820,30,393
1000713,3/29/2016,ligula.Donec@Curabitur.com,40676,65,450
1000714,12/27/2015,magna.nec.quam@luctus.com,44493,60,630
1000715,6/2/2016,Fusce@utpharetrased.org,30838,50,555
1000716,12/5/2016,metus.sit@duinec.com,48140,40,1352
1000717,7/8/2016,velit@In.edu,95801,17,1364
1000718,3/28/2016,urna.Ut.tincidunt@pede.com,92028,17,279
1000719,9/7/2016,gravida@luctuset.net,31171,60,178
1000720,12/25/2016,ultricies.dignissim@libero.com,91845,30,451
1000721,1/30/2016,a.ultricies@sagittisDuisgravida.org,02529,40,350
1000722,2/7/2016,massa@mi.com,46567,20,660
1000723,5/2/2016,Nulla@mus.com,59928,60,1364
1000724,12/29/2016,adipiscing@eget.org,04195,20,325
1000725,6/27/2015,arcu.Morbi@Nullamutnisi.net,06574,17,184
1000726,2/25/2015,et.arcu@Proinsedturpis.org,24384,60,971
1000727,12/24/2015,adipiscing.ligula@ullamcorperDuis.net,04121,17,349
1000728,7/22/2016,enim.Etiam.gravida@consectetuer.com,21959,50,744
1000729,11/13/2016,dis.parturient@Nulla.org,15239,17,1313
1000730,5/21/2015,Integer@lacusEtiam.com,34940,17,25
1000731,1/14/2016,congue.a.aliquet@etmalesuadafames.org,09313,20,276
1000732,2/25/2016,ac.arcu@ipsumcursusvestibulum.edu,02796,60,185
1000733,3/28/2016,a.ultricies@pede.org,02474,65,312
1000734,4/27/2016,dignissim.lacus.Aliquam@aenimSuspendisse.org,15026,40,285
1000735,9/7/2015,parturient.montes.nascetur@consectetuer.edu,64445,65,437
1000736,2/2/2016,Donec@Integer.edu,17067,50,696
1000737,11/18/2015,mi.ac.mattis@pretiumneque.org,48774,65,175
1000738,1/2/2016,Donec@et.org,16825,17,597
1000739,4/17/2015,et.magnis.dis@necmalesuada.com,24408,50,671
1000740,12/27/2015,primis.in.faucibus@non.edu,68531,20,1251
1000741,10/21/2015,a@faucibus.edu,02777,30,328
1000742,4/28/2016,imperdiet.ornare@cursusin.com,32791,30,1290
1000743,2/2/2015,orci@congueturpis.com,62955,17,486
1000744,11/11/2015,fermentum.risus@Vivamuseuismodurna.edu,29123,60,1037
1000745,6/18/2015,aliquam.eros@ametultricies.net,04682,20,171
1000746,11/22/2015,consequat.lectus.sit@faucibusorci.com,09891,30,111
1000747,5/6/2015,natoque@posuerevulputate.com,52967,40,655
1000748,12/22/2016,ornare@nonhendrerit.com,64301,50,1235
1000749,5/31/2016,venenatis.lacus@aliquetProin.com,95960,40,1346
1000750,4/4/2016,nec.quam.Curabitur@SeddictumProin.net,53555,20,1156
1000751,9/8/2015,at.pede.Cras@faucibusleoin.com,07925,17,35
1000752,1/9/2017,placerat@Proin.com,67636,17,605
1000753,10/12/2015,Nunc.sollicitudin@eu.com,61295,20,764
1000754,3/20/2015,mollis.lectus.pede@venenatisa.org,49684,50,479
1000755,8/27/2016,Curabitur@elementumat.com,12349,17,318
1000756,8/8/2015,mauris@nasceturridiculusmus.com,47617,50,1237
1000757,4/10/2016,erat.nonummy@enimnisl.edu,23467,50,1326
1000758,9/16/2016,consectetuer.rhoncus.Nullam@hendreritnequeIn.com,09736,17,179
1000759,8/18/2015,semper.dui@consectetuer.edu,78995,20,1263
1000760,3/9/2016,cursus.a.enim@tinciduntnuncomc.net,12410,17,1019
1000761,5/21/2015,amet@Namtempordiam.com,05680,30,43
1000762,4/13/2016,aliquet@semPellentesqueut.com,05339,60,75
1000763,8/3/2016,enim.consequat.purus@dapibusrutrum.com,21635,40,1155
1000764,7/3/2015,diam.Duis@eleifend.edu,14006,50,1210
1000765,6/20/2016,vitae@magnaPhasellus.edu,98486,30,951
1000766,8/31/2016,turpis@famesac.net,89584,17,611
1000767,6/4/2015,enim.Mauris@dolorsit.edu,22064,65,260
1000768,1/10/2017,diam@at.net,14731,30,10
1000769,8/29/2015,nascetur.ridiculus@natoquepenatibus.net,52383,40,163
1000770,12/13/2016,vitae.mauris@ettristiquepellentesque.net,97326,60,262
1000771,11/3/2016,volutpat@lacus.edu,99147,30,463
1000772,5/23/2016,vestibulum@arcu.com,96846,60,672
1000773,12/26/2016,auctor.nunc@Fusce.com,08658,17,90
1000774,12/10/2016,quis.tristique@erat.edu,71207,30,951
1000775,5/3/2016,ipsum@Craseutellus.com,36316,50,960
1000776,1/3/2017,sed.libero.Proin@luctus.net,75646,60,379
1000777,8/8/2015,Suspendisse.tristique@augueacipsum.net,83655,50,526
1000778,9/19/2015,sodales@luctusvulputatenisi.edu,82237,20,1368
1000779,9/26/2016,eget@Nuncut.edu,19827,60,666
1000780,1/15/2017,nulla@eget.net,59467,50,970
1000781,10/28/2016,arcu.Sed@dignissim.net,06736,40,57
1000782,9/11/2016,lectus@liberodui.edu,39777,60,550
1000783,3/23/2016,pede.ultrices@dolor.net,65209,17,1153
1000784,8/23/2016,imperdiet.non.vestibulum@viverraMaecenasiaculis.edu,32431,17,1070
1000785,3/28/2015,parturient.montes.nascetur@tortorNunccommodo.com,64683,30,744
1000786,4/2/2015,metus.Aliquam@eratvolutpatNulla.com,47865,17,841
1000787,1/7/2017,Duis@mauris.com,18026,17,827
1000788,9/30/2016,eu@aliquet.net,25845,20,317
1000789,7/13/2016,orci@ipsumdolorsit.net,63287,65,127
1000790,7/21/2015,rutrum.magna@pretiumaliquetmetus.net,73102,50,599
1000791,6/7/2015,sapien.imperdiet.ornare@sapien.com,74267,60,76
1000792,1/4/2017,non.dapibus.rutrum@Nunc.org,56815,40,381
1000793,2/29/2016,tristique.senectus.et@estconguea.com,88920,65,791
1000794,5/19/2016,elementum.at.egestas@diam.com,20343,40,223
1000795,4/18/2015,congue.In.scelerisque@a.com,09314,65,388
1000796,6/12/2015,ante@penatibusetmagnis.com,06199,65,32
1000797,10/19/2015,et.rutrum.eu@dignissimpharetra.com,24474,60,0
1000798,12/25/2016,euismod.ac@lectus.com,26166,40,1086
1000799,7/7/2015,aliquet@enim.com,05178,20,331
1000800,3/29/2015,placerat@tinciduntnuncomc.edu,67729,30,760
1000801,11/27/2016,elit@lobortisrisusIn.com,21458,50,739
10000010,10/22/2016,cursus.non@facilisis.edu,13016,60,198
10000010,9/13/2015,libero.Morbi.accumsan@scelerisquenequesed.net,40220,60,632
10000010,8/8/2016,Nulla.facilisi.Sed@aliquetsemut.org,58742,20,1381
10000010,8/29/2015,nunc.ac.mattis@eratvel.org,60616,50,1286
10000010,2/21/2015,Sed@utmiDuis.com,76946,65,656
10000010,1/8/2016,sit.amet.risus@eratVivamusnisi.net,79801,65,776
10000010,5/24/2015,Suspendisse.ac.metus@ullamcorperDuis.com,82731,50,989
10000011,2/15/2015,blandit.at.nisi@orcilobortis.org,09154,30,223
10000011,7/27/2015,blandit.mattis.Cras@Uttincidunt.com,09268,30,188
10000011,3/14/2016,lorem.eget.mollis@tinciduntvehicularisus.org,41841,50,43
10000011,7/30/2015,metus.facilisis.lorem@acmattisornare.com,47908,17,1202
10000011,3/31/2015,primis.in@auctorodio.org,68595,50,1122
10000011,9/28/2015,tempus@iaculislacus.com,86324,65,537
10000011,1/19/2017,tristique.senectus@antedictum.edu,89055,30,889
10000012,7/1/2016,magna@eros.edu,45131,50,766
10000012,12/27/2016,neque.Sed@disparturient.net,54802,65,38
10000012,3/29/2015,pede.Nunc@velturpisAliquam.org,65141,30,286
10000012,7/4/2016,Quisque.porttitor@porttitorerosnec.edu,71923,40,1249
10000012,11/8/2016,ultricies.ligula.Nullam@quisurnaNunc.com,91878,60,1117
10000012,8/7/2015,vehicula.Pellentesque@cubiliaCurae.org,94803,17,287
10000012,2/8/2015,velit.Aliquam@porttitor.com,95695,60,500
10000013,10/23/2015,arcu.imperdiet@Etiamgravidamolestie.edu,06446,30,315
10000013,12/24/2016,euismod@sed.edu,26369,60,1234
10000013,1/31/2016,imperdiet@semper.net,33155,60,209
10000013,5/5/2016,lacinia.mattis.Integer@seddolor.com,37090,65,1239
10000013,8/14/2016,mauris.rhoncus.id@metuseu.com,47055,65,703
10000013,8/19/2015,sem@consequatlectussit.com,78322,60,1265
10000013,8/20/2016,sit.amet.ultricies@Donecdignissim.com,80063,30,436
10000014,12/14/2016,ac@vitae.edu,03438,65,57
10000014,8/18/2015,dolor.sit.amet@Mauris.edu,15457,40,689
10000014,7/3/2015,Donec.tempor.est@vulputaterisus.com,16311,65,1344
10000014,12/15/2015,eget@milacinia.org,19729,17,537
10000014,7/22/2016,metus.sit.amet@luctus.com,48125,65,686
10000014,8/8/2015,tempor@liberoestcongue.org,85867,50,29
10000014,6/3/2016,tincidunt.congue@Praesentluctus.net,87052,30,72
10000015,9/14/2016,cubilia.Curae.Phasellus@imperdiet.com,11692,17,1038
10000015,5/22/2015,Fusce.mi.lorem@ligulaAliquam.edu,30054,40,507
10000015,2/13/2015,neque@mi.net,55065,30,325
10000015,2/11/2016,Nulla.facilisi@seddictum.org,59109,30,1398
10000015,7/16/2016,Nulla.facilisis@Nuncuterat.org,59179,60,414
10000015,12/31/2015,rutrum.lorem.ac@adipiscinglacus.net,73058,50,135
10000015,10/1/2015,tortor.Integer.aliquam@quamafelis.com,87936,60,764
10000016,8/6/2016,ac.nulla.In@erosturpis.net,02989,17,290
10000016,9/27/2015,at@ornareliberoat.net,08320,30,156
10000016,10/1/2015,Cras@nonummy.org,11391,40,332
10000016,3/18/2016,lacus@Pellentesquehabitantmorbi.net,38281,50,270
10000016,9/18/2015,leo@non.com,39977,20,637
10000016,5/21/2015,magna.Suspendisse@enimEtiamgravida.com,44595,65,463
10000016,2/28/2015,Ut@feugiat.com,93417,65,1180
10000017,3/28/2015,eros.Proin.ultrices@ultricies.edu,23853,30,333
10000017,3/26/2016,magna.Lorem.ipsum@semPellentesque.com,44406,17,1302
10000017,4/16/2016,Nullam@urna.com,60525,40,845
10000017,10/14/2016,quam.a.felis@porta.edu,70146,17,362
10000017,12/22/2015,Sed.nunc@imperdietornareIn.com,76062,30,804
10000017,7/14/2015,semper@vestibulummassa.com,79114,50,859
10000017,1/10/2017,vulputate.risus@senectuset.edu,99879,50,630
10000018,9/17/2015,augue.eu.tempor@malesuadaIntegerid.com,08692,50,161
10000018,7/29/2015,interdum.libero.dui@orcilobortis.edu,35758,65,377
10000018,8/2/2016,mattis.ornare.lectus@sem.net,46908,65,220
10000018,5/15/2016,Proin@urna.edu,69136,20,1007
10000018,7/16/2015,sociis@Integer.com,81595,65,828
10000018,4/13/2015,Suspendisse.commodo@Aeneansed.edu,83431,50,1346
10000018,12/31/2016,turpis@anunc.org,89576,40,424
10000019,8/31/2015,ante@egestas.com,06158,17,97
10000019,1/13/2016,dolor@egestas.com,15749,65,341
10000019,1/8/2017,libero.Morbi@luctus.org,40368,20,327
10000019,8/1/2016,magna.et@vulputateullamcorper.org,44339,30,257
10000019,7/8/2016,neque@posuerecubilia.edu,55148,20,298
10000019,11/24/2016,sem.mollis@Nunc.org,77778,20,606
10000019,8/6/2015,ullamcorper.velit@temporestac.com,90350,60,548
10000020,5/8/2015,gravida@euaugueporttitor.com,30942,20,724
10000020,11/9/2016,ipsum.nunc@Proinnon.com,36015,40,628
10000020,9/22/2015,mollis@nec.net,50176,17,425
10000020,10/24/2015,per.conubia@elit.org,65974,17,493
10000020,2/26/2016,pharetra.ut@Nuncmauris.com,66310,20,415
10000020,8/4/2016,risus.Nunc@lorem.edu,72738,65,35
10000020,4/7/2016,tortor.dictum.eu@pedenonummy.edu,87873,20,1095
10000021,4/8/2016,et.magna.Praesent@tortor.net,24407,50,171
10000021,10/4/2016,lorem.tristique@Quisqueac.net,42066,50,1166
10000021,10/29/2015,molestie.orci@luctus.com,49109,50,429
10000021,5/14/2016,parturient@Nunc.com,64911,40,1187
10000021,3/24/2016,porttitor@sitametmassa.com,67752,40,1127
10000021,2/14/2016,tristique@mollisvitae.com,89189,40,617
10000021,1/9/2017,Vivamus.rhoncus.Donec@duiSuspendisse.com,98855,60,275
10000022,6/26/2016,cursus.in@Etiamvestibulum.net,12958,65,349
10000022,7/17/2016,cursus@tortorat.com,13576,40,1380
10000022,3/13/2016,facilisis@idliberoDonec.net,27114,30,570
10000022,2/6/2015,Integer.id@ultricessit.com,34661,30,347
10000022,12/21/2016,Mauris.eu@CuraePhasellusornare.com,47038,20,56
10000022,12/2/2016,Nulla.eu@turpisIn.com,58450,30,587
10000022,3/6/2015,Pellentesque@nislNullaeu.edu,65762,60,1252
10000023,6/23/2016,arcu@non.com,06997,17,141
10000023,9/2/2015,dolor.quam.elementum@Phasellusinfelis.com,15331,60,174
10000023,1/17/2017,eleifend.non@Aenean.com,20097,30,1137
10000023,7/16/2016,lacus@risusatfringilla.com,38387,65,619
10000023,3/17/2015,Quisque.purus.sapien@eu.org,71972,65,103
10000023,11/15/2015,rhoncus@faucibusidlibero.edu,72389,20,625
10000023,6/25/2015,ridiculus@molestieorcitincidunt.com,72589,65,1240
10000024,8/31/2015,arcu.Sed.eu@acmattis.org,06712,17,188
10000024,2/25/2015,facilisis.lorem@urna.com,26836,60,1391
10000024,4/16/2015,pharetra@risusat.com,66462,20,849
10000024,7/28/2016,Proin@Aliquamgravidamauris.net,69007,40,1213
10000024,3/8/2015,Sed.eu.nibh@risus.com,75322,20,11
10000024,9/20/2016,sem.magna@Quisquevarius.com,77714,65,1093
10000024,9/23/2016,ut@risusNullaeget.edu,93569,20,669
10000025,12/29/2016,egestas@aarcu.com,18528,60,1411
10000025,4/20/2016,ipsum.non.arcu@etmagnis.com,35833,60,16
10000025,1/31/2015,libero.est.congue@placerat.org,40027,50,459
10000025,9/29/2016,non.lorem.vitae@nonloremvitae.com,57311,50,1046
10000025,8/29/2015,pulvinar@Morbiaccumsanlaoreet.com,69797,40,1015
10000025,10/30/2015,semper@ligulaAliquam.com,79066,17,1113
