"refNo","collectDate","subjEmail","cenTract","ageRange","score"
1000702,"10/17/2016","libero.et.tristique@quisdiamluctus.net",40146,30,256
1000703,"2/12/2015","dui.nec@augue.org",17223,17,184
1000704,"6/20/2016","molestie@molestietellusAenean.com",49443,60,187
1000705,"11/13/2015","lectus@pharetrautpharetra.edu",39935,17,123
1000706,"7/7/2015","lacus.Etiam@Aliquamvulputateullamcorper.net",37487,60,49
1000707,"6/8/2016","sollicitudin.commodo@gravida.edu",82597,60,207
1000708,"4/12/2015","vitae.sodales@nonhendreritid.net",97828,65,223
1000709,"9/29/2016","eu.accumsan.sed@placerategetvenenatis.com",24982,17,45
1000710,"5/23/2016","odio.sagittis@ullamcorper.edu",62748,20,255
1000711,"5/21/2016","vel.arcu.Curabitur@Donec.com",95004,40,169
1000712,"12/28/2015","ac.eleifend.vitae@viverra.com",2820,30,128
1000713,"3/29/2016","ligula.Donec@Curabitur.com",40676,65,68
1000714,"12/27/2015","magna.nec.quam@luctus.com",44493,60,172
1000715,"6/2/2016","Fusce@utpharetrased.org",30838,50,127
1000716,"12/5/2016","metus.sit@duinec.com",48140,40,165
1000717,"7/8/2016","velit@In.edu",95801,17,157
1000718,"3/28/2016","urna.Ut.tincidunt@pede.com",92028,17,10
1000719,"9/7/2016","gravida@luctuset.net",31171,60,66
1000720,"12/25/2016","ultricies.dignissim@libero.com",91845,30,244
1000721,"1/30/2016","a.ultricies@sagittisDuisgravida.org",2529,40,264
1000722,"2/7/2016","massa@mi.com",46567,20,131
1000723,"5/2/2016","Nulla@mus.com",59928,60,101
1000724,"12/29/2016","adipiscing@eget.org",4195,20,166
1000725,"6/27/2015","arcu.Morbi@Nullamutnisi.net",6574,17,125
1000726,"2/25/2015","et.arcu@Proinsedturpis.org",24384,60,81
1000727,"12/24/2015","adipiscing.ligula@ullamcorperDuis.net",4121,17,143
1000728,"7/22/2016","enim.Etiam.gravida@consectetuer.com",21959,50,202
1000729,"11/13/2016","dis.parturient@Nulla.org",15239,17,58
1000730,"5/21/2015","Integer@lacusEtiam.com",34940,17,137
1000731,"1/14/2016","congue.a.aliquet@etmalesuadafames.org",9313,20,178
1000732,"2/25/2016","ac.arcu@ipsumcursusvestibulum.edu",2796,60,166
1000733,"3/28/2016","a.ultricies@pede.org",2474,65,7
1000734,"4/27/2016","dignissim.lacus.Aliquam@aenimSuspendisse.org",15026,40,143
1000735,"9/7/2015","parturient.montes.nascetur@consectetuer.edu",64445,65,175
1000736,"2/2/2016","Donec@Integer.edu",17067,50,50
1000737,"11/18/2015","mi.ac.mattis@pretiumneque.org",48774,65,83
1000738,"1/2/2016","Donec@et.org",16825,17,137
1000739,"4/17/2015","et.magnis.dis@necmalesuada.com",24408,50,127
1000740,"12/27/2015","primis.in.faucibus@non.edu",68531,20,174
1000741,"10/21/2015","a@faucibus.edu",2777,30,202
1000742,"4/28/2016","imperdiet.ornare@cursusin.com",32791,30,120
1000743,"2/2/2015","orci@congueturpis.com",62955,17,163
1000744,"11/11/2015","fermentum.risus@Vivamuseuismodurna.edu",29123,60,193
1000745,"6/18/2015","aliquam.eros@ametultricies.net",4682,20,77
1000746,"11/22/2015","consequat.lectus.sit@faucibusorci.com",9891,30,91
1000747,"5/6/2015","natoque@posuerevulputate.com",52967,40,111
1000748,"12/22/2016","ornare@nonhendrerit.com",64301,50,136
1000749,"5/31/2016","venenatis.lacus@aliquetProin.com",95960,40,252
1000750,"4/4/2016","nec.quam.Curabitur@SeddictumProin.net",53555,20,11
1000751,"9/8/2015","at.pede.Cras@faucibusleoin.com",7925,17,204
1000752,"1/9/2017","placerat@Proin.com",67636,17,13
1000753,"10/12/2015","Nunc.sollicitudin@eu.com",61295,20,184
1000754,"3/20/2015","mollis.lectus.pede@venenatisa.org",49684,50,41
1000755,"8/27/2016","Curabitur@elementumat.com",12349,17,104
1000756,"8/8/2015","mauris@nasceturridiculusmus.com",47617,50,63
1000757,"4/10/2016","erat.nonummy@enimnisl.edu",23467,50,191
1000758,"9/16/2016","consectetuer.rhoncus.Nullam@hendreritnequeIn.com",9736,17,170
1000759,"8/18/2015","semper.dui@consectetuer.edu",78995,20,202
1000760,"3/9/2016","cursus.a.enim@tinciduntnuncomc.net",12410,17,183
1000761,"5/21/2015","amet@Namtempordiam.com",5680,30,239
1000762,"4/13/2016","aliquet@semPellentesqueut.com",5339,60,230
1000763,"8/3/2016","enim.consequat.purus@dapibusrutrum.com",21635,40,209
1000764,"7/3/2015","diam.Duis@eleifend.edu",14006,50,139
1000765,"6/20/2016","vitae@magnaPhasellus.edu",98486,30,152
1000766,"8/31/2016","turpis@famesac.net",89584,17,115
1000767,"6/4/2015","enim.Mauris@dolorsit.edu",22064,65,228
1000768,"1/10/2017","diam@at.net",14731,30,107
1000769,"8/29/2015","nascetur.ridiculus@natoquepenatibus.net",52383,40,34
1000770,"12/13/2016","vitae.mauris@ettristiquepellentesque.net",97326,60,199
1000771,"11/3/2016","volutpat@lacus.edu",99147,30,218
1000772,"5/23/2016","vestibulum@arcu.com",96846,60,33
1000773,"12/26/2016","auctor.nunc@Fusce.com",8658,17,232
1000774,"12/10/2016","quis.tristique@erat.edu",71207,30,255
1000775,"5/3/2016","ipsum@Craseutellus.com",36316,50,150
1000776,"1/3/2017","sed.libero.Proin@luctus.net",75646,60,186
1000777,"8/8/2015","Suspendisse.tristique@augueacipsum.net",83655,50,221
1000778,"9/19/2015","sodales@luctusvulputatenisi.edu",82237,20,235
1000779,"9/26/2016","eget@Nuncut.edu",19827,60,101
1000780,"1/15/2017","nulla@eget.net",59467,50,94
1000781,"10/28/2016","arcu.Sed@dignissim.net",6736,40,12
1000782,"9/11/2016","lectus@liberodui.edu",39777,60,173
1000783,"3/23/2016","pede.ultrices@dolor.net",65209,17,50
1000784,"8/23/2016","imperdiet.non.vestibulum@viverraMaecenasiaculis.edu",32431,17,172
1000785,"3/28/2015","parturient.montes.nascetur@tortorNunccommodo.com",64683,30,227
1000786,"4/2/2015","metus.Aliquam@eratvolutpatNulla.com",47865,17,246
1000787,"1/7/2017","Duis@mauris.com",18026,17,124
1000788,"9/30/2016","eu@aliquet.net",25845,20,8
1000789,"7/13/2016","orci@ipsumdolorsit.net",63287,65,194
1000790,"7/21/2015","rutrum.magna@pretiumaliquetmetus.net",73102,50,205
1000791,"6/7/2015","sapien.imperdiet.ornare@sapien.com",74267,60,152
1000792,"1/4/2017","non.dapibus.rutrum@Nunc.org",56815,40,267
1000793,"2/29/2016","tristique.senectus.et@estconguea.com",88920,65,29
1000794,"5/19/2016","elementum.at.egestas@diam.com",20343,40,107
1000795,"4/18/2015","congue.In.scelerisque@a.com",9314,65,145
1000796,"6/12/2015","ante@penatibusetmagnis.com",6199,65,168
1000797,"10/19/2015","et.rutrum.eu@dignissimpharetra.com",24474,60,252
1000798,"12/25/2016","euismod.ac@lectus.com",26166,40,58
1000799,"7/7/2015","aliquet@enim.com",5178,20,82
1000800,"3/29/2015","placerat@tinciduntnuncomc.edu",67729,30,217
1000801,"11/27/2016","elit@lobortisrisusIn.com",21458,50,158
10000010,"10/22/2016","cursus.non@facilisis.edu",13016,60,18
10000010,"9/13/2015","libero.Morbi.accumsan@scelerisquenequesed.net",40220,60,107
10000010,"8/8/2016","Nulla.facilisi.Sed@aliquetsemut.org",58742,20,46
10000010,"8/29/2015","nunc.ac.mattis@eratvel.org",60616,50,200
10000010,"2/21/2015","Sed@utmiDuis.com",76946,65,172
10000010,"1/8/2016","sit.amet.risus@eratVivamusnisi.net",79801,65,11
10000010,"5/24/2015","Suspendisse.ac.metus@ullamcorperDuis.com",82731,50,121
10000011,"2/15/2015","blandit.at.nisi@orcilobortis.org",9154,30,232
10000011,"7/27/2015","blandit.mattis.Cras@Uttincidunt.com",9268,30,34
10000011,"3/14/2016","lorem.eget.mollis@tinciduntvehicularisus.org",41841,50,85
10000011,"7/30/2015","metus.facilisis.lorem@acmattisornare.com",47908,17,104
10000011,"3/31/2015","primis.in@auctorodio.org",68595,50,85
10000011,"9/28/2015","tempus@iaculislacus.com",86324,65,64
10000011,"1/19/2017","tristique.senectus@antedictum.edu",89055,30,177
10000012,"7/1/2016","magna@eros.edu",45131,50,18
10000012,"12/27/2016","neque.Sed@disparturient.net",54802,65,159
10000012,"3/29/2015","pede.Nunc@velturpisAliquam.org",65141,30,286
10000012,"7/4/2016","Quisque.porttitor@porttitorerosnec.edu",71923,40,148
10000012,"11/8/2016","ultricies.ligula.Nullam@quisurnaNunc.com",91878,60,159
10000012,"8/7/2015","vehicula.Pellentesque@cubiliaCurae.org",94803,17,126
10000012,"2/8/2015","velit.Aliquam@porttitor.com",95695,60,73
10000013,"10/23/2015","arcu.imperdiet@Etiamgravidamolestie.edu",6446,30,154
10000013,"12/24/2016","euismod@sed.edu",26369,60,220
10000013,"1/31/2016","imperdiet@semper.net",33155,60,59
10000013,"5/5/2016","lacinia.mattis.Integer@seddolor.com",37090,65,142
10000013,"8/14/2016","mauris.rhoncus.id@metuseu.com",47055,65,177
10000013,"8/19/2015","sem@consequatlectussit.com",78322,60,197
10000013,"8/20/2016","sit.amet.ultricies@Donecdignissim.com",80063,30,136
10000014,"12/14/2016","ac@vitae.edu",3438,65,167
10000014,"8/18/2015","dolor.sit.amet@Mauris.edu",15457,40,157
10000014,"7/3/2015","Donec.tempor.est@vulputaterisus.com",16311,65,32
10000014,"12/15/2015","eget@milacinia.org",19729,17,180
10000014,"7/22/2016","metus.sit.amet@luctus.com",48125,65,159
10000014,"8/8/2015","tempor@liberoestcongue.org",85867,50,299
10000014,"6/3/2016","tincidunt.congue@Praesentluctus.net",87052,30,333
10000015,"9/14/2016","cubilia.Curae.Phasellus@imperdiet.com",11692,17,27
10000015,"5/22/2015","Fusce.mi.lorem@ligulaAliquam.edu",30054,40,87
10000015,"2/13/2015","neque@mi.net",55065,30,223
10000015,"2/11/2016","Nulla.facilisi@seddictum.org",59109,30,60
10000015,"7/16/2016","Nulla.facilisis@Nuncuterat.org",59179,60,242
10000015,"12/31/2015","rutrum.lorem.ac@adipiscinglacus.net",73058,50,76
10000015,"10/1/2015","tortor.Integer.aliquam@quamafelis.com",87936,60,104
10000016,"8/6/2016","ac.nulla.In@erosturpis.net",2989,17,131
10000016,"9/27/2015","at@ornareliberoat.net",8320,30,159
10000016,"10/1/2015","Cras@nonummy.org",11391,40,134
10000016,"3/18/2016","lacus@Pellentesquehabitantmorbi.net",38281,50,177
10000016,"9/18/2015","leo@non.com",39977,20,14
10000016,"5/21/2015","magna.Suspendisse@enimEtiamgravida.com",44595,65,207
10000016,"2/28/2015","Ut@feugiat.com",93417,65,21
10000017,"3/28/2015","eros.Proin.ultrices@ultricies.edu",23853,30,49
10000017,"3/26/2016","magna.Lorem.ipsum@semPellentesque.com",44406,17,10
10000017,"4/16/2016","Nullam@urna.com",60525,40,220
10000017,"10/14/2016","quam.a.felis@porta.edu",70146,17,150
10000017,"12/22/2015","Sed.nunc@imperdietornareIn.com",76062,30,72
10000017,"7/14/2015","semper@vestibulummassa.com",79114,50,198
10000017,"1/10/2017","vulputate.risus@senectuset.edu",99879,50,88
10000018,"9/17/2015","augue.eu.tempor@malesuadaIntegerid.com",8692,50,85
10000018,"7/29/2015","interdum.libero.dui@orcilobortis.edu",35758,65,102
10000018,"8/2/2016","mattis.ornare.lectus@sem.net",46908,65,68
10000018,"5/15/2016","Proin@urna.edu",69136,20,300
10000018,"7/16/2015","sociis@Integer.com",81595,65,267
10000018,"4/13/2015","Suspendisse.commodo@Aeneansed.edu",83431,50,74
10000018,"12/31/2016","turpis@anunc.org",89576,40,67
10000019,"8/31/2015","ante@egestas.com",6158,17,176
10000019,"1/13/2016","dolor@egestas.com",15749,65,62
10000019,"1/8/2017","libero.Morbi@luctus.org",40368,20,189
10000019,"8/1/2016","magna.et@vulputateullamcorper.org",44339,30,194
10000019,"7/8/2016","neque@posuerecubilia.edu",55148,20,98
10000019,"11/24/2016","sem.mollis@Nunc.org",77778,20,32
10000019,"8/6/2015","ullamcorper.velit@temporestac.com",90350,60,241
10000020,"5/8/2015","gravida@euaugueporttitor.com",30942,20,199
10000020,"11/9/2016","ipsum.nunc@Proinnon.com",36015,40,9
10000020,"9/22/2015","mollis@nec.net",50176,17,207
10000020,"10/24/2015","per.conubia@elit.org",65974,17,129
10000020,"2/26/2016","pharetra.ut@Nuncmauris.com",66310,20,296
10000020,"8/4/2016","risus.Nunc@lorem.edu",72738,65,152
10000020,"4/7/2016","tortor.dictum.eu@pedenonummy.edu",87873,20,107
10000021,"4/8/2016","et.magna.Praesent@tortor.net",24407,50,124
10000021,"10/4/2016","lorem.tristique@Quisqueac.net",42066,50,83
10000021,"10/29/2015","molestie.orci@luctus.com",49109,50,41
10000021,"5/14/2016","parturient@Nunc.com",64911,40,119
10000021,"3/24/2016","porttitor@sitametmassa.com",67752,40,120
10000021,"2/14/2016","tristique@mollisvitae.com",89189,40,136
10000021,"1/9/2017","Vivamus.rhoncus.Donec@duiSuspendisse.com",98855,60,209
10000022,"6/26/2016","cursus.in@Etiamvestibulum.net",12958,65,151
10000022,"7/17/2016","cursus@tortorat.com",13576,40,239
10000022,"3/13/2016","facilisis@idliberoDonec.net",27114,30,81
10000022,"2/6/2015","Integer.id@ultricessit.com",34661,30,62
10000022,"12/21/2016","Mauris.eu@CuraePhasellusornare.com",47038,20,189
10000022,"12/2/2016","Nulla.eu@turpisIn.com",58450,30,212
10000022,"3/6/2015","Pellentesque@nislNullaeu.edu",65762,60,265
10000023,"6/23/2016","arcu@non.com",6997,17,136
10000023,"9/2/2015","dolor.quam.elementum@Phasellusinfelis.com",15331,60,208
10000023,"1/17/2017","eleifend.non@Aenean.com",20097,30,147
10000023,"7/16/2016","lacus@risusatfringilla.com",38387,65,132
10000023,"3/17/2015","Quisque.purus.sapien@eu.org",71972,65,180
10000023,"11/15/2015","rhoncus@faucibusidlibero.edu",72389,20,247
10000023,"6/25/2015","ridiculus@molestieorcitincidunt.com",72589,65,221
10000024,"8/31/2015","arcu.Sed.eu@acmattis.org",6712,17,141
10000024,"2/25/2015","facilisis.lorem@urna.com",26836,60,247
10000024,"4/16/2015","pharetra@risusat.com",66462,20,79
10000024,"7/28/2016","Proin@Aliquamgravidamauris.net",69007,40,87
10000024,"3/8/2015","Sed.eu.nibh@risus.com",75322,20,318
10000024,"9/20/2016","sem.magna@Quisquevarius.com",77714,65,36
10000024,"9/23/2016","ut@risusNullaeget.edu",93569,20,156
10000025,"12/29/2016","egestas@aarcu.com",18528,60,174
10000025,"4/20/2016","ipsum.non.arcu@etmagnis.com",35833,60,156
10000025,"1/31/2015","libero.est.congue@placerat.org",40027,50,76
10000025,"9/29/2016","non.lorem.vitae@nonloremvitae.com",57311,50,96
10000025,"8/29/2015","pulvinar@Morbiaccumsanlaoreet.com",69797,40,178
10000025,"10/30/2015","semper@ligulaAliquam.com",79066,17,225
10000025,"6/11/2015","ut.odio.vel@natoquepenatibuset.edu",93046,65,88
10000026,"1/18/2017","arcu@sodalesat.edu",7267,40,192
10000026,"11/3/2015","augue@egetvolutpatornare.edu",8945,30,113
10000026,"5/27/2016","erat@interdum.edu",23505,40,152
10000026,"4/30/2016","Nunc.mauris.sapien@utpellentesqueeget.edu",61022,65,142
10000026,"9/27/2016","quis@duiCras.com",71282,40,203
10000026,"1/23/2015","tellus.sem@ornare.edu",84710,50,62
10000026,"5/21/2015","vulputate@consectetueradipiscingelit.org",99985,20,95
10000027,"1/21/2016","dis.parturient.montes@Proinvel.net",15171,30,138
10000027,"1/21/2016","facilisis@senectusetnetus.org",27357,30,106
10000027,"2/27/2015","Integer.mollis.Integer@sollicitudin.com",34691,40,105
10000027,"10/8/2015","massa.Suspendisse@orci.net",46380,20,203
10000027,"8/5/2015","morbi.tristique@ligulaNullamfeugiat.org",51014,17,206
10000027,"4/10/2015","orci@mauris.org",63642,65,54
10000027,"2/12/2016","risus.Donec@elit.com",72625,30,118
10000028,"11/20/2015","a.purus.Duis@odiovelest.com",2281,50,129
10000028,"4/21/2016","at.augue@arcu.com",7739,65,137
10000028,"9/13/2015","dolor@Uttinciduntvehicula.edu",15820,17,220
10000028,"8/19/2015","ligula.Aenean@Fuscedolor.net",40638,60,70
10000028,"9/5/2015","metus@nibhenim.com",48416,17,135
10000028,"8/22/2015","ornare.In.faucibus@Namnulla.com",64144,20,188
10000028,"9/29/2015","turpis.Nulla.aliquet@congue.net",89397,50,202
10000029,"4/26/2015","at.velit@lectuspedeet.net",8095,30,83
10000029,"11/8/2016","egestas.Duis.ac@atpede.com",18310,40,59
10000029,"9/18/2015","in.tempus.eu@eros.com",33630,20,144
10000029,"9/1/2015","lectus.rutrum.urna@libero.org",39690,50,297
10000029,"1/9/2017","magna@ascelerisque.com",44957,50,214
10000029,"3/12/2016","risus.quis@elit.com",72758,50,148
10000029,"9/11/2015","sagittis.lobortis.mauris@consectetuercursuset.net",73282,65,184
10000030,"12/11/2015","a.odio.semper@aliquet.org",2236,50,302
10000030,"12/3/2016","eu.ligula@convallis.edu",25191,40,365
10000030,"6/11/2016","magna.et.ipsum@elit.org",44308,65,100
10000030,"3/25/2016","nec.cursus.a@congueaaliquet.com",52982,17,188
10000030,"6/4/2016","quam.quis@Fusce.com",70726,65,117
10000030,"7/13/2015","tellus.eu@euismodenimEtiam.com",83987,65,261
10000030,"7/16/2016","tristique.ac.eleifend@magnaCrasconvallis.edu",88397,65,156
10000031,"9/9/2016","eget.ipsum@Duissitamet.com",19065,17,148
10000031,"12/3/2016","Fusce.aliquet@quistristiqueac.net",29755,20,215
10000031,"10/1/2016","Mauris@leo.edu",47477,40,201
10000031,"1/1/2016","sagittis.Duis@rutrumFuscedolor.edu",73137,40,134
10000031,"6/13/2015","sodales.nisi.magna@nonleoVivamus.com",82084,17,161
10000031,"9/30/2016","tincidunt.congue@lobortisaugue.com",86706,65,82
10000031,"8/31/2015","vulputate.dui.nec@dapibusgravidaAliquam.com",99533,60,298
10000032,"8/10/2016","ac.risus.Morbi@bibendumfermentum.com",3054,50,141
10000032,"12/2/2016","ac.turpis@Fuscefermentumfermentum.org",3287,30,80
10000032,"10/29/2016","dapibus@ametornarelectus.com",13580,60,174
10000032,"10/13/2015","eu.lacus.Quisque@nisl.com",25134,65,141
10000032,"3/2/2015","metus@sodales.org",48454,60,201
10000032,"6/6/2015","mollis.lectus@Aenean.com",49803,30,140
10000032,"5/1/2015","tellus@nequeIn.com",85434,50,177
10000033,"7/3/2016","enim@sodales.org",23170,20,127
10000033,"7/15/2016","In.nec@fermentumarcu.com",33472,40,175
10000033,"5/20/2015","pede@sit.com",65355,17,140
10000033,"3/17/2016","Phasellus.elit.pede@euismodacfermentum.net",66939,17,192
10000033,"9/17/2015","Proin.ultrices.Duis@pede.org",68852,60,70
10000033,"5/23/2016","Quisque@fermentum.edu",72110,20,331
10000033,"5/29/2015","tincidunt@idmollis.edu",87683,60,146
10000034,"5/13/2015","dolor.Quisque@vulputatemauris.com",15361,50,71
10000034,"11/4/2015","elit.dictum@eteuismod.edu",20404,60,63
10000034,"6/20/2016","est@egetvolutpatornare.com",24382,20,127
10000034,"10/26/2016","lacus.Cras.interdum@magnisdisparturient.com",37243,20,92
10000034,"2/28/2016","luctus@ipsumdolor.net",43934,40,139
10000034,"11/13/2016","massa.rutrum@aliquam.edu",46098,60,121
10000034,"9/23/2016","pretium.aliquet@placerat.com",68479,60,293
10000035,"1/20/2017","commodo.auctor@Ut.edu",9294,17,180
10000035,"10/6/2016","dis@Utnec.org",15279,20,113
10000035,"6/3/2016","dolor.tempus.non@lacusAliquamrutrum.edu",15661,60,71
10000035,"4/5/2016","Duis.ac.arcu@miDuisrisus.com",17461,40,168
10000035,"12/15/2016","Fusce@egestasSed.net",30358,40,133
10000035,"2/8/2015","nec.leo.Morbi@egetvolutpatornare.edu",53065,50,108
10000035,"9/23/2015","tempus@Nam.com",86344,20,139
10000036,"1/17/2017","dignissim.tempor@interdumligulaeu.com",15044,17,42
10000036,"6/12/2016","eu.lacus.Quisque@Vivamuseuismod.org",25179,60,235
10000036,"5/17/2016","inceptos.hymenaeos@Quisquetincidunt.edu",34484,20,170
10000036,"7/15/2016","lacus@diam.com",37982,40,255
10000036,"5/7/2015","parturient@egetnisidictum.com",64843,17,292
10000036,"4/23/2015","vel@posuere.edu",95630,65,162
10000036,"1/12/2016","vitae@Aeneanegestashendrerit.org",98094,40,47
10000037,"1/4/2016","consectetuer@sociis.com",9855,60,174
10000037,"8/28/2015","Cras.interdum@eratVivamusnisi.com",10595,65,170
10000037,"6/3/2015","enim@ipsumprimisin.net",23167,40,1
10000037,"9/13/2016","ligula@egestaslacinia.com",40949,17,227
10000037,"12/5/2016","Nulla.tincidunt@ipsumdolorsit.edu",59363,20,129
10000037,"2/17/2016","sed.pede.Cum@indolor.com",76289,65,123
10000037,"12/22/2015","vehicula@nec.org",94820,65,125
10000038,"5/13/2015","ante@Donec.com",5904,20,132
10000038,"11/7/2016","Duis.gravida.Praesent@massa.net",17925,65,216
10000038,"8/10/2015","eleifend@rutrumjustoPraesent.com",20281,60,102
